S/No,_Shortage _Materials,_Large_Class_Size,_Lack_Time,_Hard_Manage_Diverse,_Limited_Admin_Support,_Limited_Training,_Difficult_Engaging_All,_Challenges_Assessing,_Students_Resist,_Hard_Allign_Curriculum,_Overwhelmed_Planning,_Lack_Confidence_Groupwork,_Disruptions,_Difficulty_Adupting,_Parents_Not_Supportive,_Challenges_Integrating _Tech
1,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree ,Strongly Agree,Agree,Neutral,Strongly Agree,Agree
2,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree
3,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree ,Disagree,Disagree,Disagree,Agree,Agree
4,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree
5,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Adisagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
6,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree
7,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral
8,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Neutral
9,Neutral,Neutral,Neutral,Neutral,DIsagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree
10,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral
11,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
12,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Astrongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
13,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree
14,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly,Strongly Disagree,Disagree,Disagree
15,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly  Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly  Agree,Disagree
16,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree ,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree
17,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Agree
18,Agree,Strongly Agree,Agree,Agree,Diagree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree
19,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree
20,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree ,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral
21,Agree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Neutral
22,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree
23,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree ,Strongly Agree,Agree,Agree,Neutral,Agree
24,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree ,Strongly Agree, Agree,Strongly Agree,Agree,Agree
25,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree ,Strongly Agree,Agree,Neutral,Disagree,Disagree
26,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree ,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
27,Strongly  Agree,Agree,Strongly  Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Neutral,Neutral
28,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
